endpoint;asn;holder
109.105.109.206;2603;NORDUNET - NORDUnet
2001:948:7:1::e;2603;NORDUNET - NORDUnet
217.13.64.35;24956;GDS-1 - Gaertner Datensysteme GmbH & Co. KG
217.13.64.34;24956;GDS-1 - Gaertner Datensysteme GmbH & Co. KG
212.202.214.205;20676;QSC-1 - QSC AG
87.234.14.37;20676;QSC-1 - QSC AG
213.148.139.113;20676;QSC-1 - QSC AG
92.197.129.142;20676;QSC-1 - QSC AG
2a00:1030:0:48::1;24956;GDS-1 - Gaertner Datensysteme GmbH & Co. KG
2a00:1030:0:48::2;24956;GDS-1 - Gaertner Datensysteme GmbH & Co. KG
2001:1a80:100:3::1;20676;QSC-1 - QSC AG
2001:1a80:100:1b::e;20676;QSC-1 - QSC AG
92.197.129.140;20676;QSC-1 - QSC AG
2001:1a80:100:1b::c;20676;QSC-1 - QSC AG
82.244.104.254;12322;PROXAD - Free SAS
213.228.13.62;12322;PROXAD - Free SAS
78.254.250.125;12322;PROXAD - Free SAS
212.27.40.10;12322;PROXAD - Free SAS
64.15.116.49;36040;YOUTUBE - Google LLC
2a01:e35:2f46:80f0::1;12322;PROXAD - Free SAS
2a01:e00:18::19;12322;PROXAD - Free SAS
2a01:e00:17:1::1;12322;PROXAD - Free SAS
2a01:e0f:ffff::6;12322;PROXAD - Free SAS
2620:11a:a010:1::11;43515;YOUTUBE - Google Ireland Limited
64.15.116.50;36040;YOUTUBE - Google LLC
2620:11a:a010:1::12;43515;YOUTUBE - Google Ireland Limited
78.254.249.102;12322;PROXAD - Free SAS
72.14.211.26;15169;GOOGLE - Google LLC
72.14.239.205;15169;GOOGLE - Google LLC
216.239.47.187;15169;GOOGLE - Google LLC
72.14.232.76;15169;GOOGLE - Google LLC
216.239.57.136;15169;GOOGLE - Google LLC
72.14.234.95;15169;GOOGLE - Google LLC
216.239.49.209;15169;GOOGLE - Google LLC
173.194.19.230;15169;GOOGLE - Google LLC
216.239.46.207;15169;GOOGLE - Google LLC
216.239.57.148;15169;GOOGLE - Google LLC
216.239.47.99;15169;GOOGLE - Google LLC
216.239.58.235;15169;GOOGLE - Google LLC
108.170.232.247;15169;GOOGLE - Google LLC
173.194.151.88;15169;GOOGLE - Google LLC
72.14.239.145;15169;GOOGLE - Google LLC
216.239.57.124;15169;GOOGLE - Google LLC
216.239.62.119;15169;GOOGLE - Google LLC
173.194.19.235;15169;GOOGLE - Google LLC
2001:1620:202d:b::1;13030;INIT7 - Init7 (Switzerland) Ltd.
2001:1620:202d::1;13030;INIT7 - Init7 (Switzerland) Ltd.
2001:1620:2::142;13030;INIT7 - Init7 (Switzerland) Ltd.
2001:1620:2::13d;13030;INIT7 - Init7 (Switzerland) Ltd.
2001:1620:1000::82;13030;INIT7 - Init7 (Switzerland) Ltd.
2001:4860:0:1::1d0;15169;GOOGLE - Google LLC
2a00:1450:400a::7;15169;GOOGLE - Google LLC
46.140.110.81;6830;LGI-UPC - Liberty Global Operations B.V.
217.168.63.25;6830;LGI-UPC - Liberty Global Operations B.V.
84.116.211.21;6830;LGI-UPC - Liberty Global Operations B.V.
84.116.202.225;6830;LGI-UPC - Liberty Global Operations B.V.
84.116.134.22;6830;LGI-UPC - Liberty Global Operations B.V.
72.14.198.45;15169;GOOGLE - Google LLC
209.85.250.148;15169;GOOGLE - Google LLC
74.125.13.7;15169;GOOGLE - Google LLC
2001:4860:0:1::559;15169;GOOGLE - Google LLC
2a00:1450:400a:2::b;15169;GOOGLE - Google LLC
209.85.243.125;15169;GOOGLE - Google LLC
74.125.13.75;15169;GOOGLE - Google LLC
217.0.119.83;3320;DTAG - Deutsche Telekom AG
217.0.72.250;3320;DTAG - Deutsche Telekom AG
62.154.32.186;3320;DTAG - Deutsche Telekom AG
80.150.170.98;3320;DTAG - Deutsche Telekom AG
209.85.249.126;15169;GOOGLE - Google LLC
72.14.233.167;15169;GOOGLE - Google LLC
72.14.234.216;15169;GOOGLE - Google LLC
64.233.175.186;15169;GOOGLE - Google LLC
209.85.249.183;15169;GOOGLE - Google LLC
72.14.234.225;15169;GOOGLE - Google LLC
173.194.18.199;15169;GOOGLE - Google LLC
2003:75:4f39:6e00:c225:6ff:fef4:ad86;3320;DTAG - Deutsche Telekom AG
2003:0:4c0c:200::1;3320;DTAG - Deutsche Telekom AG
2003:0:4c0d:310::2;3320;DTAG - Deutsche Telekom AG
2001:4860:1:1:0:cf8:0:2d;15169;GOOGLE - Google LLC
62.154.33.2;3320;DTAG - Deutsche Telekom AG
72.14.233.130;15169;GOOGLE - Google LLC
74.125.162.103;15169;GOOGLE - Google LLC
2003:75:4f34:5b00:c225:6ff:fef4:ad86;3320;DTAG - Deutsche Telekom AG
217.0.72.254;3320;DTAG - Deutsche Telekom AG
62.154.32.190;3320;DTAG - Deutsche Telekom AG
209.85.249.135;15169;GOOGLE - Google LLC
2003:0:4c0c:210::2;3320;DTAG - Deutsche Telekom AG
2001:4860::3:0:fde;15169;GOOGLE - Google LLC
72.14.233.216;15169;GOOGLE - Google LLC
216.239.56.160;15169;GOOGLE - Google LLC
216.239.50.144;15169;GOOGLE - Google LLC
209.85.241.20;15169;GOOGLE - Google LLC
209.85.143.180;15169;GOOGLE - Google LLC
216.239.42.27;15169;GOOGLE - Google LLC
209.85.245.167;15169;GOOGLE - Google LLC
209.85.226.147;15169;GOOGLE - Google LLC
209.85.248.196;15169;GOOGLE - Google LLC
216.239.51.16;15169;GOOGLE - Google LLC
209.85.248.246;15169;GOOGLE - Google LLC
64.233.174.134;15169;GOOGLE - Google LLC
209.85.240.230;15169;GOOGLE - Google LLC
209.85.240.110;15169;GOOGLE - Google LLC
216.239.42.13;15169;GOOGLE - Google LLC
209.85.245.163;15169;GOOGLE - Google LLC
2001:4860::1:0:fbc;15169;GOOGLE - Google LLC
2001:4860::8:0:672e;15169;GOOGLE - Google LLC
2001:4860::8:0:6400;15169;GOOGLE - Google LLC
2001:4860::1:0:6e0e;15169;GOOGLE - Google LLC
2001:4860::3:0:752;15169;GOOGLE - Google LLC
2001:4860:0:1::907;15169;GOOGLE - Google LLC
2a00:1450:4008:8::b;15169;GOOGLE - Google LLC
72.14.233.214;15169;GOOGLE - Google LLC
209.85.240.88;15169;GOOGLE - Google LLC
74.125.37.161;15169;GOOGLE - Google LLC
209.85.251.179;15169;GOOGLE - Google LLC
216.239.57.185;15169;GOOGLE - Google LLC
216.239.56.107;15169;GOOGLE - Google LLC
216.239.59.203;15169;GOOGLE - Google LLC
216.239.49.205;15169;GOOGLE - Google LLC
173.194.19.234;15169;GOOGLE - Google LLC
72.14.233.31;15169;GOOGLE - Google LLC
