ip;asn;holder
2607:f8b0:4007:1c::9;15169;GOOGLE - Google LLC
173.194.142.167;15169;GOOGLE - Google LLC
2607:f8b0:4002:15::7;15169;GOOGLE - Google LLC
173.194.29.76;15169;GOOGLE - Google LLC
2607:f8b0:4002:15::9;15169;GOOGLE - Google LLC
173.194.11.231;15169;GOOGLE - Google LLC
2607:f8b0:4002:3::16;15169;GOOGLE - Google LLC
2607:f8b0:4002:3::b;15169;GOOGLE - Google LLC
173.194.11.235;15169;GOOGLE - Google LLC
173.194.12.143;15169;GOOGLE - Google LLC
173.194.12.139;15169;GOOGLE - Google LLC
207.34.103.17;852;ASN852 - TELUS Communications Inc.
2001:56a:2:8::11;852;ASN852 - TELUS Communications Inc.
2001:56a:2:8::12;852;ASN852 - TELUS Communications Inc.
207.34.103.18;852;ASN852 - TELUS Communications Inc.
90.201.127.76;5607;BSKYB-BROADBAND-AS - Sky UK Limited
2a02:c7a:8000:10::c;5607;BSKYB-BROADBAND-AS - Sky UK Limited
90.201.127.77;5607;BSKYB-BROADBAND-AS - Sky UK Limited
2a02:c7a:8000:10::d;5607;BSKYB-BROADBAND-AS - Sky UK Limited
90.201.127.79;5607;BSKYB-BROADBAND-AS - Sky UK Limited
2a02:c7a:8000:10::11;5607;BSKYB-BROADBAND-AS - Sky UK Limited
173.194.130.39;15169;GOOGLE - Google LLC
2607:f8b0:4006:1c::7;15169;GOOGLE - Google LLC
2607:f8b0:4006:2e::7;15169;GOOGLE - Google LLC
173.194.31.199;15169;GOOGLE - Google LLC
173.194.31.203;15169;GOOGLE - Google LLC
2607:f8b0:4006:2e::8;15169;GOOGLE - Google LLC
2607:f8b0:4006:16::b;15169;GOOGLE - Google LLC
74.125.172.108;15169;GOOGLE - Google LLC
2607:f8b0:4006:9::b;15169;GOOGLE - Google LLC
173.194.130.171;15169;GOOGLE - Google LLC
2607:f8b0:4006:9::c;15169;GOOGLE - Google LLC
2607:f8b0:4006:20::b;15169;GOOGLE - Google LLC
173.194.24.85;15169;GOOGLE - Google LLC
2607:f8b0:400f:7::7;15169;GOOGLE - Google LLC
173.194.137.135;15169;GOOGLE - Google LLC
173.194.25.17;15169;GOOGLE - Google LLC
2607:f8b0:400f:7::8;15169;GOOGLE - Google LLC
173.194.55.152;15169;GOOGLE - Google LLC
2607:f8b0:4006:12::7;15169;GOOGLE - Google LLC
2607:f8b0:4008:f::c;15169;GOOGLE - Google LLC
74.125.155.21;15169;GOOGLE - Google LLC
2607:f8b0:4004:22::15;15169;GOOGLE - Google LLC
173.194.63.241;15169;GOOGLE - Google LLC
2607:f8b0:4016:9::14;15169;GOOGLE - Google LLC
173.194.63.235;15169;GOOGLE - Google LLC
2607:f8b0:4016:9::b;15169;GOOGLE - Google LLC
173.194.56.17;15169;GOOGLE - Google LLC
74.125.155.18;15169;GOOGLE - Google LLC
2607:f8b0:4004:22::9;15169;GOOGLE - Google LLC
173.194.63.249;15169;GOOGLE - Google LLC
2607:f8b0:4016:9::11;15169;GOOGLE - Google LLC
2607:f8b0:4005:10::15;15169;GOOGLE - Google LLC
